1	37	4	2	5	7	6	4	6	5	3	2	4	4	2	5	3	3	2	2
1	33	4	2	6	4	3	6	4	3	3	2	4	4	2	3	4	5	2	1
2	25	4	1	2	4	5	4	3	2	5	4	5	5	4	5	4	5	5	3
2	29	4	2	1	4	1	4	6	2	4	3	4	5	4	5	5	5	5	6
2	30	4	2	1	1	1	2	3	3	7	4	4	4	6	7	7	7	6	3
2	32	4	2	4	6	5	3	4	5	5	4	5	5	4	4	5	6	7	6
2	29	4	2	1	3	1	2	2	1	2	1	2	2	2	7	6	6	7	6
1	23	4	1	1	2	1	3	4	2	3	2	4	2	5	5	6	7	7	5
1	30	4	2	4	3	5	4	5	4	4	5	5	4	5	5	5	4	5	4
2	34	3	2	2	5	6	6	7	6	2	3	3	3	3	1	2	1	1	1
2	32	4	2	4	5	6	5	6	5	5	4	5	5	4	4	4	3	4	2
1	29	4	2	1	2	2	1	2	2	3	2	5	1	3	7	6	6	7	6
1	33	5	2	5	7	6	7	6	7	7	5	6	7	6	6	7	7	5	7
2	45	3	2	6	7	1	7	1	7	6	6	6	6	7	7	7	6	6	7
2	32	4	2	2	5	6	5	6	5	7	3	6	5	6	3	3	3	6	3
2	26	4	2	3	5	3	3	4	3	4	2	2	3	1	5	5	6	6	5
1	34	4	2	2	2	3	2	1	3	5	5	5	5	6	6	5	7	5	5
2	28	3	1	2	2	1	1	6	1	1	1	2	4	2	4	3	4	5	1
2	36	3	2	4	3	5	6	3	3	3	4	4	3	2	2	5	5	6	3
2	45	3	2	2	3	4	2	4	3	4	5	5	4	5	5	6	7	6	6
2	35	4	2	4	4	5	6	4	6	3	4	6	2	3	5	5	4	5	3
2	53	2	2	3	6	5	3	6	5	3	3	2	1	1	4	2	2	4	1
1	24	4	1	2	2	1	2	1	1	4	4	4	3	3	4	4	5	3	3
1	26	4	2	2	3	4	5	3	3	4	4	4	5	4	3	4	3	3	3
2	36	4	2	1	3	3	2	4	3	2	3	5	7	6	5	5	6	5	4
